Goles, Tiros Totales, xG                  , npxG                , xAG                 , xA                  , Acciones_que_crean_tiros, Pases_intentados, Pases_progresivos, Regates_exitosos, Pases_medios_completados, Pases_largos_completados, Pases_en_ultimo_tercio, Pases_al_hueco, Pases_centros, Pases_completados, Valla_no_vencida, Errores_defnsivos_ocasion_tiro, Toques_en_zona_ofensiva, Toques_en_area_rival, %_de_regates_exitosos, Acarreos_ultimo_tercio, Pases_recibidos, Pases_progresivos_recibidos, Centros, Duelos_aereos_ganados, %_de_duelos_aereos_ganados, market_value_million_eur, age_years         , GK, DF, MF, FW, nat_Other, nat_ar ARG, nat_be BEL, nat_br BRA, nat_ch SUI, nat_ci CIV, nat_dk DEN, nat_dz ALG, nat_eng ENG, nat_es ESP, nat_fr FRA, nat_gh GHA, nat_it ITA, nat_ma MAR, nat_ml MLI, nat_ng NGA, nat_nl NED, nat_pt POR, nat_rs SRB, nat_se SWE, nat_sn SEN
    0,             0,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        1,               59,                 3,                0,                       21,                        7,                      4,              0,             0,                47,                1,                              1,                       6,                    1,     0.0              ,                      0,              39,                           2,       0,                     3,         60.0              ,                     1.5 , 30.931506849315067,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        1,               36,                 2,                1,                       10,                        0,                      0,              0,             1,                28,                2,                              0,                       5,                    2,    50.0              ,                      0,              18,                           1,       1,                     4,         87.5              ,                     3.0 , 22.693150684931506,  0,  1,  0,  0, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        1,               76,                 8,                1,                       28,                        6,                     11,              0,             2,                59,                3,                              1,                      22,                    0,    16.666666666666668,                      3,              52,                           5,       2,                     1,         16.666666666666668,                     0.75, 34.03013698630137 ,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , True       , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        0,               79,                 7,                1,                       43,                        6,                      5,              0,             0,                72,                0,                              0,                       2,                    0,   100.0              ,                      1,              58,                           0,       0,                     2,        100.0              ,                    11.0 , 30.03287671232877 ,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , True       , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             8,  0.2                ,  0.2                ,  0.7                ,  0.5                ,                       15,              282,                43,                0,                      114,                       25,                     32,              2,            11,               222,                4,                              0,                      88,                    2,     0.0              ,                      7,             228,                           4,      11,                     5,         50.0              ,                    45.0 , 20.284931506849315,  0,  0,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , True       , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             2,  0.1                ,  0.1                ,  0.2                ,  0.2                ,                        6,              152,                22,                3,                       54,                        5,                     19,              0,             7,               128,                3,                              0,                      58,                    6,    41.666666666666664,                      9,             115,                          21,       7,                     4,         33.333333333333336,                     2.5 , 22.904109589041095,  0,  1,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    2,            39,  4.0                ,  4.0                ,  4.7                ,  3.9                ,                       77,              548,                63,               49,                      125,                       27,                     33,              5,            83,               393,                5,                              3,                     430,                   89,    42.15172413793104 ,                     41,             576,                         150,      83,                    32,         49.76896551724138 ,                     9.0 , 29.28767123287671 ,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    7,            42,  4.7                ,  4.7                ,  3.3                ,  2.5                ,                       60,              375,                24,               21,                       55,                       19,                     13,              2,            44,               268,                1,                              1,                     300,                   75,    42.99285714285714 ,                     31,             397,                         105,      44,                     8,         39.285714285714285,                    60.0 , 27.594520547945205,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , True      , False     , False     , False     , False     , False
    1,            13,  0.6000000000000001 ,  0.6000000000000001 ,  0.6000000000000001 ,  1.3                ,                       25,              201,                20,                5,                       57,                       21,                     16,              5,            29,               146,                3,                              0,                     130,                    9,    16.428571428571427,                      7,             199,                          33,      29,                     3,         21.428571428571427,                     1.2 , 30.265753424657536,  0,  0,  1,  1, False    , False     , True      , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    4,            26,  4.6                ,  4.6                ,  0.6000000000000001 ,  0.8                ,                       32,              438,                42,               16,                       86,                       16,                     32,              0,             6,               314,               12,                              0,                     264,                   38,    35.253846153846155,                     16,             472,                         116,       6,                    62,         72.37692307692308 ,                     1.5 , 29.484931506849314,  0,  0,  1,  1, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             3,  0.1                ,  0.1                ,  0.1                ,  0.2                ,                        8,              133,                 8,                2,                       46,                       11,                      4,              1,             9,               115,                3,                              0,                      71,                    3,    25.0              ,                      7,             108,                          24,       9,                     1,         12.5              ,                     1.5 , 24.12876712328767 ,  0,  1,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             1,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        4,               90,                 3,                1,                       28,                        6,                      1,              0,             9,                63,                1,                              0,                      40,                    3,    25.0              ,                      2,              60,                           9,       9,                     1,         10.0              ,                     7.0 , 26.556164383561644,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        2,               48,                 0,                0,                       14,                        2,                      0,              0,             0,                36,                0,                              0,                      14,                    0,     0.0              ,                      4,              54,                          10,       0,                     2,         25.0              ,                     4.5 , 24.438356164383563,  0,  0,  0,  1, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             5,  0.2                ,  0.2                ,  0.2                ,  0.30000000000000004,                        8,              188,                13,                2,                       64,                       31,                     15,              0,             5,               161,                2,                              0,                      34,                    1,    25.0              ,                      3,             152,                           3,       5,                     3,         75.0              ,                    15.0 , 23.43013698630137 ,  0,  0,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    8,            50,  8.8                ,  8.8                ,  4.0                ,  4.2                ,                       70,             1576,               202,               40,                      410,                       42,                    170,              2,            42,              1344,               16,                              0,                     702,                  100,    60.55333333333333 ,                     56,            1464,                         190,      42,                    42,         61.00666666666667 ,                    25.0 , 30.12054794520548 ,  0,  1,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             1,  0.0                ,  0.0                ,  0.4                ,  0.5                ,                        2,               75,                 5,                0,                       29,                        3,                      1,              0,             4,                61,                2,                              1,                      20,                    5,     0.0              ,                      2,              59,                           7,       4,                     2,         37.5              ,                     2.0 , 30.958904109589042,  0,  1,  1,  0, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    2,            44,  6.4                ,  6.4                ,  5.0                ,  5.6                ,                      126,             1874,               174,               38,                      610,                      118,                    122,              4,            66,              1554,               14,                              0,                     756,                  140,    43.7235294117647  ,                     34,            1630,                         152,      66,                    16,         20.78235294117647 ,                     5.0 , 31.397260273972602,  0,  0,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,            20,  1.2000000000000002 ,  1.2000000000000002 ,  3.0                ,  3.0                ,                       62,              950,                58,                8,                      292,                       38,                     26,              0,            90,               750,                6,                              2,                     440,                   40,    28.330000000000002,                     22,             746,                         160,      90,                    20,         64.17             ,                    15.0 , 23.44931506849315 ,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             1,  0.1                ,  0.1                ,  0.2                ,  0.1                ,                        6,              115,                11,                2,                       41,                        4,                     10,              0,            12,                83,                1,                              0,                      49,                    1,    50.0              ,                      4,              84,                           9,      12,                     4,         66.65             ,                     4.0 , 27.73972602739726 ,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    1,            26,  2.6                ,  2.0                ,  1.4                ,  2.1                ,                       47,              593,                82,               32,                      169,                       31,                     45,              4,            20,               480,                4,                              0,                     351,                   42,    53.41578947368421 ,                     44,             553,                          85,      20,                    17,         55.26315789473684 ,                    15.0 , 23.487671232876714,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    2,            20,  2.8                ,  2.8                ,  1.8                ,  2.2                ,                       34,              548,                46,               10,                      184,                        8,                     26,              4,            30,               442,                6,                              2,                     236,                   46,    41.666666666666664,                     14,             394,                          50,      30,                    12,         58.333333333333336,                    12.0 , 27.64109589041096 ,  0,  1,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , True       , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             2,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        2,              160,                14,                0,                       80,                       32,                     20,              0,             0,               150,                2,                              0,                       2,                    2,     0.0              ,                      0,             144,                           0,       0,                     2,         50.0              ,                     1.2 , 32.917808219178085,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , True      , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    1,             1,  0.2                ,  0.2                ,  0.0                ,  0.0                ,                        1,               40,                 0,                0,                       27,                        3,                      0,              0,             0,                35,                1,                              0,                       3,                    1,     0.0              ,                      2,              35,                           0,       0,                     0,          0.0              ,                    22.0 , 24.610958904109587,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             1,  0.0                ,  0.0                ,  0.6000000000000001 ,  0.2                ,                        8,               42,                 4,                2,                       11,                        3,                      3,              0,             2,                36,                1,                              0,                      23,                    3,    37.5              ,                      4,              50,                           7,       2,                     1,         25.0              ,                     3.5 , 28.71232876712329 ,  0,  1,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    6,            34,  7.2                ,  7.2                ,  0.4                ,  0.0                ,                       34,              282,                11,               15,                       55,                        7,                     16,              2,             8,               178,                6,                              2,                     179,                   71,    53.971428571428575,                      8,             243,                          61,       8,                    34,         46.304761904761904,                     5.0 , 25.183561643835617,  0,  0,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , True      , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        0,                6,                 1,                1,                        1,                        0,                      1,              0,             0,                 3,                0,                              0,                       3,                    0,   100.0              ,                      0,               2,                           0,       0,                     1,        100.0              ,                     7.0 , 20.421917808219177,  0,  1,  0,  0, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    2,            20,  1.0                ,  1.0                ,  1.4000000000000001 ,  1.0                ,                       33,              269,                35,               12,                       43,                       20,                     14,              0,            30,               172,                5,                              0,                     191,                   40,    17.647058823529413,                     16,             277,                          60,      30,                     5,         29.41176470588235 ,                    11.0 , 23.791780821917808,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , True      , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    1,            10,  0.9                ,  0.9                ,  0.9                ,  0.30000000000000004,                       21,              204,                22,               11,                       61,                        9,                     16,              0,            14,               162,                1,                              0,                      89,                   14,    55.8375           ,                     10,             186,                          26,      14,                     3,         25.0              ,                    18.0 , 27.854794520547944,  0,  0,  1,  1, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             2,  0.0                ,  0.0                ,  0.1                ,  0.0                ,                        7,              151,                24,                1,                       54,                       14,                     21,              0,             0,               136,                1,                              0,                      20,                    0,    16.666666666666668,                      4,             126,                           1,       0,                     5,         83.33333333333333 ,                     8.0 , 25.397260273972602,  0,  0,  1,  0, False    , False     , True      , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             6,  0.2                ,  0.2                ,  0.0                ,  0.0                ,                        2,               68,                 2,                2,                       36,                        4,                      0,              0,             0,                56,                2,                              0,                       6,                    4,   100.0              ,                      0,              64,                           0,       0,                     4,        100.0              ,                     8.0 , 25.923287671232877,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False     , False
    0,             2,  0.2                ,  0.2                ,  0.1                ,  0.1                ,                       11,              182,                18,                3,                       67,                        9,                     19,              0,             3,               148,                2,                              0,                      41,                    7,    62.5              ,                      4,             114,                           6,       3,                     6,         55.0              ,                     1.8 , 30.216438356164385,  0,  0,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False     , False
    2,            36,  2.6                ,  2.6                ,  1.5                ,  1.3                ,                       44,              428,                42,               21,                      102,                       12,                     30,              3,            18,               340,                1,                              0,                     282,                   53,    35.035714285714285,                     29,             459,                          82,      18,                     4,         16.071428571428573,                    25.0 , 21.63013698630137 ,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             1,  0.0                ,  0.0                ,  0.2                ,  0.1                ,                        7,              115,                11,                2,                       49,                        9,                      9,              0,             8,                94,                1,                              0,                      37,                    2,    50.0              ,                      1,              85,                           6,       8,                     0,          0.0              ,                     1.5 , 32.73150684931507 ,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,            12,  0.30000000000000004,  0.30000000000000004,  3.3000000000000003 ,  2.1                ,                       60,             1404,                81,               24,                      522,                       48,                     48,              0,            72,              1236,               12,                              0,                     495,                   36,    34.63333333333333 ,                     51,            1125,                         201,      72,                    27,         57.411111111111104,                    60.0 , 21.572602739726026,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
